epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,694.136,0.31714,0.33781,0.24881,0.84614,0.98729,0.98964,0.99074,0.96932,0.9857,0.98804,0.99068,0.96183,0.23432,0.22414,0.2196,0.54415,0.0014258,0.0014258,0.0014258
31,716.708,0.31382,0.33012,0.24293,0.84319,0.98731,0.99099,0.99087,0.96968,0.98572,0.98939,0.99081,0.96327,0.2339,0.25054,0.20025,0.54053,0.001406,0.001406,0.001406
32,739.12,0.30334,0.33511,0.23569,0.84321,0.9873,0.99035,0.99117,0.96781,0.9873,0.99035,0.99117,0.97175,0.23679,0.21457,0.20654,0.53609,0.0013862,0.0013862,0.0013862
33,761.885,0.31982,0.33226,0.24957,0.84706,0.98269,0.99431,0.99145,0.96569,0.98573,0.98963,0.99145,0.95957,0.24184,0.25217,0.21507,0.5405,0.0013664,0.0013664,0.0013664
34,784.523,0.30263,0.33692,0.23571,0.84301,0.98313,0.98885,0.99264,0.96641,0.98313,0.98885,0.99257,0.96581,0.24741,0.25609,0.21168,0.54004,0.0013466,0.0013466,0.0013466
35,806.829,0.30092,0.32348,0.23396,0.84164,0.98052,0.99045,0.99141,0.97632,0.98052,0.99045,0.99141,0.96377,0.23082,0.25651,0.19975,0.54341,0.0013268,0.0013268,0.0013268
36,829.465,0.30249,0.3492,0.23553,0.84411,0.98677,0.99204,0.99309,0.97033,0.98677,0.99204,0.99309,0.95961,0.22465,0.24428,0.20901,0.53697,0.001307,0.001307,0.001307
37,852.163,0.29986,0.31529,0.23107,0.84302,0.98419,0.99114,0.99141,0.97306,0.98419,0.99114,0.99141,0.96087,0.21785,0.24724,0.19659,0.52969,0.0012872,0.0012872,0.0012872
38,874.822,0.30129,0.32269,0.23198,0.84398,0.98418,0.99041,0.99239,0.97123,0.98417,0.98988,0.99239,0.95971,0.2393,0.2567,0.18898,0.54442,0.0012674,0.0012674,0.0012674
39,897.325,0.29748,0.32711,0.23007,0.84142,0.99002,0.98726,0.9924,0.97318,0.98887,0.99033,0.99242,0.96121,0.21698,0.22714,0.20518,0.53552,0.0012476,0.0012476,0.0012476
40,922.491,0.30034,0.33322,0.23346,0.8388,0.9794,0.99204,0.9898,0.97086,0.9794,0.99204,0.9898,0.95693,0.22837,0.21988,0.20324,0.539,0.0012278,0.0012278,0.0012278
41,947.827,0.30175,0.34603,0.23385,0.84146,0.98422,0.99334,0.99249,0.96539,0.98422,0.99334,0.99249,0.95411,0.2316,0.25147,0.2139,0.53571,0.001208,0.001208,0.001208
42,972.24,0.29247,0.32507,0.22663,0.83758,0.98691,0.99045,0.99043,0.97026,0.98533,0.98885,0.99032,0.96083,0.21532,0.25432,0.18291,0.52679,0.0011882,0.0011882,0.0011882
43,995.953,0.29101,0.32015,0.22399,0.83668,0.9905,0.99595,0.99152,0.97213,0.98891,0.99436,0.99152,0.96191,0.22995,0.26167,0.19586,0.52945,0.0011684,0.0011684,0.0011684
44,1020.31,0.294,0.31514,0.22676,0.83718,0.98578,0.99352,0.99318,0.97797,0.98578,0.99352,0.99318,0.96977,0.20977,0.22641,0.18285,0.52879,0.0011486,0.0011486,0.0011486
45,1043.6,0.2888,0.30757,0.22179,0.84108,0.98577,0.99312,0.99332,0.96977,0.98577,0.99312,0.99332,0.96391,0.22249,0.24163,0.19187,0.53266,0.0011288,0.0011288,0.0011288
46,1067.74,0.28533,0.31049,0.21933,0.83893,0.98113,0.99335,0.98989,0.96916,0.98111,0.9924,0.98989,0.95848,0.23282,0.272,0.18976,0.53874,0.001109,0.001109,0.001109
47,1091.09,0.28655,0.31456,0.2208,0.83746,0.9858,0.99461,0.99178,0.97585,0.98422,0.99304,0.99175,0.96436,0.21203,0.25429,0.19028,0.53465,0.0010892,0.0010892,0.0010892
48,1114.7,0.28277,0.31128,0.21573,0.83722,0.98525,0.99363,0.99207,0.97291,0.98731,0.99144,0.99211,0.95563,0.2137,0.26642,0.19722,0.53152,0.0010694,0.0010694,0.0010694
49,1138.11,0.28624,0.32742,0.21982,0.83947,0.99044,0.9903,0.99237,0.97729,0.99044,0.9903,0.99237,0.97386,0.20745,0.24584,0.17577,0.529,0.0010496,0.0010496,0.0010496
50,1161.47,0.27909,0.31771,0.21255,0.83581,0.98311,0.99522,0.9917,0.97782,0.98219,0.99363,0.99168,0.96701,0.19749,0.24589,0.18914,0.52718,0.0010298,0.0010298,0.0010298
51,1184.73,0.27728,0.32024,0.21369,0.83247,0.98577,0.99286,0.99059,0.97785,0.98577,0.99286,0.99059,0.97106,0.20397,0.26723,0.19409,0.52691,0.00101,0.00101,0.00101
52,1207.79,0.2759,0.31105,0.21476,0.836,0.98273,0.99652,0.98997,0.97528,0.98264,0.9916,0.98997,0.96382,0.20078,0.22648,0.19165,0.52451,0.0009902,0.0009902,0.0009902
53,1230.98,0.27792,0.31228,0.21142,0.83746,0.98266,0.99281,0.99086,0.9761,0.98109,0.99121,0.99083,0.96301,0.21172,0.23888,0.18451,0.52669,0.0009704,0.0009704,0.0009704
54,1254.83,0.27268,0.31055,0.20968,0.83745,0.98274,0.99709,0.98807,0.97411,0.98274,0.99709,0.98807,0.9615,0.20154,0.22786,0.17503,0.52349,0.0009506,0.0009506,0.0009506
55,1278.77,0.26966,0.31469,0.20689,0.82962,0.98891,0.9943,0.99298,0.97322,0.98733,0.99271,0.99294,0.95951,0.19777,0.22758,0.16972,0.51879,0.0009308,0.0009308,0.0009308
56,1302.65,0.27484,0.31671,0.20592,0.83465,0.98419,0.99143,0.9917,0.97504,0.98419,0.99143,0.9917,0.95852,0.19935,0.24564,0.17965,0.52223,0.000911,0.000911,0.000911
57,1325.9,0.27251,0.31203,0.20893,0.83392,0.9842,0.99195,0.99135,0.97296,0.9842,0.99195,0.99135,0.96095,0.18928,0.23943,0.17416,0.52028,0.0008912,0.0008912,0.0008912
58,1348.97,0.27104,0.31307,0.20635,0.83428,0.98887,0.99,0.99258,0.98095,0.98728,0.98841,0.99252,0.96364,0.1908,0.23051,0.1616,0.51887,0.0008714,0.0008714,0.0008714
59,1372.44,0.26398,0.30924,0.20123,0.83197,0.98765,0.98885,0.99276,0.9788,0.98765,0.98885,0.99276,0.96953,0.19006,0.22869,0.16759,0.51994,0.0008516,0.0008516,0.0008516
60,1396.72,0.27026,0.33012,0.20449,0.83746,0.98256,0.99045,0.9925,0.97579,0.98256,0.99045,0.9925,0.962,0.18601,0.2321,0.17275,0.52423,0.0008318,0.0008318,0.0008318
61,1419.78,0.25901,0.29662,0.19823,0.83384,0.98665,0.99204,0.99269,0.9805,0.98665,0.99204,0.99269,0.96326,0.18332,0.24969,0.1586,0.51699,0.000812,0.000812,0.000812
62,1443.23,0.2625,0.32014,0.19804,0.83094,0.9842,0.99203,0.99267,0.98048,0.98494,0.99045,0.99267,0.97167,0.19316,0.25612,0.17011,0.52401,0.0007922,0.0007922,0.0007922
63,1466.83,0.26112,0.3015,0.20137,0.83351,0.97989,0.99522,0.99239,0.98098,0.98115,0.99468,0.99239,0.96099,0.18158,0.19606,0.17216,0.51273,0.0007724,0.0007724,0.0007724
64,1489.86,0.25985,0.30882,0.19862,0.83147,0.98806,0.99363,0.99128,0.9754,0.98806,0.99363,0.99128,0.963,0.18454,0.22918,0.17265,0.51755,0.0007526,0.0007526,0.0007526
65,1513.11,0.26287,0.31274,0.20114,0.83547,0.98856,0.98567,0.99189,0.97783,0.98856,0.98567,0.99189,0.96814,0.18669,0.25264,0.16104,0.52189,0.0007328,0.0007328,0.0007328
66,1536.37,0.25423,0.29772,0.19275,0.83296,0.98418,0.99077,0.99113,0.97952,0.98418,0.99077,0.99113,0.96352,0.18587,0.23854,0.16368,0.52064,0.000713,0.000713,0.000713
67,1559.77,0.25089,0.30135,0.19312,0.82865,0.98255,0.99522,0.99148,0.98014,0.98255,0.99522,0.99148,0.96957,0.18026,0.24063,0.16456,0.51806,0.0006932,0.0006932,0.0006932
68,1583.37,0.25602,0.29349,0.19611,0.83004,0.98461,0.99363,0.99082,0.98037,0.98461,0.99363,0.99082,0.97064,0.17518,0.22737,0.16242,0.51392,0.0006734,0.0006734,0.0006734
69,1608.42,0.25971,0.30575,0.19587,0.82978,0.98579,0.99385,0.99209,0.98115,0.98579,0.99385,0.99209,0.96448,0.18175,0.25504,0.16058,0.51685,0.0006536,0.0006536,0.0006536
70,1631.48,0.24943,0.30325,0.18817,0.83147,0.9842,0.99682,0.99283,0.98322,0.9842,0.99682,0.99283,0.96892,0.17331,0.21028,0.15489,0.51294,0.0006338,0.0006338,0.0006338
71,1655.11,0.25327,0.30816,0.19044,0.83196,0.98472,0.99204,0.99224,0.97955,0.98472,0.99204,0.99224,0.9683,0.1759,0.20778,0.1558,0.51115,0.000614,0.000614,0.000614
72,1678.32,0.24973,0.29196,0.18818,0.83001,0.98118,0.99616,0.99226,0.98377,0.98118,0.99616,0.99226,0.96383,0.17375,0.21619,0.15456,0.51129,0.0005942,0.0005942,0.0005942
73,1701.66,0.25158,0.29251,0.1908,0.83086,0.97812,0.9964,0.99196,0.9821,0.97811,0.99611,0.99196,0.96058,0.17415,0.19666,0.15607,0.51016,0.0005744,0.0005744,0.0005744
74,1724.74,0.24962,0.27764,0.18725,0.83054,0.98887,0.99035,0.99241,0.98298,0.98887,0.99035,0.99241,0.97055,0.17194,0.19813,0.15691,0.5096,0.0005546,0.0005546,0.0005546
75,1748.1,0.24528,0.29491,0.18832,0.82753,0.98426,0.99588,0.99223,0.98136,0.98732,0.99152,0.99223,0.96649,0.1731,0.2083,0.15431,0.50959,0.0005348,0.0005348,0.0005348
76,1771.23,0.24305,0.28662,0.18436,0.82954,0.98576,0.99182,0.99145,0.98102,0.98576,0.99182,0.99145,0.96431,0.16807,0.1944,0.14765,0.50941,0.000515,0.000515,0.000515
